,SPX,SPX_RF,SPX_DY,SX5E,SX5E_RF,SX5E_DY,UKX,UKX_RF,UKX_DY,SPX_1M,SPX_2M,SPX_3M,SPX_6M,SPX_12M,SX5E_1M,SX5E_2M,SX5E_3M,SX5E_6M,SX5E_12M,UKX_1M,UKX_2M,UKX_3M,UKX_6M,UKX_12M
1/2/1987,246.45,5.69,3.4191,891.78,,,1681.1,,,,,,,,,,,,,,,,,
1/5/1987,252.19,5.652,3.4191,898.33,,,1680,,,,,,,,,,,,,,,,,
1/6/1987,252.78,5.62,3.4191,902.32,,,1690.7,,,,,,,,,,,,,,,,,
1/7/1987,255.33,5.557,3.4191,899.15,,,1722.2,,,,,,,,,,,,,,,,,
1/8/1987,257.29,5.577,3.4191,887.37,,,1733.1,,,,,,,,,,,,,,,,,
1/9/1987,258.73,5.513,3.4191,868.31,,,1752.3,,,,,,,,,,,,,,,,,
1/12/1987,260.3,5.527,3.4191,879.41,,,1755.6,,,,,,,,,,,,,,,,,
1/13/1987,259.95,5.464,3.4191,872.74,,,1763.3,,,,,,,,,,,,,,,,,
1/14/1987,262.64,5.463,3.4191,876.39,,,1765.2,,,,,,,,,,,,,,,,,
1/15/1987,265.49,5.504,3.4191,884.37,,,1789,,,,,,,,,,,,,,,,,
1/16/1987,266.28,5.472,3.4191,883.78,,,1789,,,,,,,,,,,,,,,,,
1/19/1987,269.34,5.472,3.4191,876.15,,,1778.4,,,,,,,,,,,,,,,,,
